frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
40.94,5.97,1.49,5.97,1.49,-1.49,-0.92,4.48,4.48,4.48
41.35,5.97,1.50,5.97,1.50,-1.49,-0.95,4.48,4.48,4.47
41.76,5.97,1.51,5.97,1.51,-1.50,-0.97,4.47,4.47,4.46
42.18,5.97,1.51,5.97,1.51,-1.51,-1.00,4.46,4.46,4.46
42.60,5.97,1.52,5.97,1.52,-1.52,-1.03,4.45,4.45,4.45
43.03,5.97,1.52,5.97,1.52,-1.52,-1.06,4.45,4.45,4.45
43.46,5.97,1.53,5.97,1.53,-1.53,-1.09,4.44,4.44,4.44
43.90,5.97,1.54,5.97,1.54,-1.54,-1.12,4.43,4.43,4.43
44.33,5.97,1.55,5.97,1.55,-1.55,-1.15,4.42,4.42,4.42
44.78,5.97,1.56,5.97,1.56,-1.56,-1.18,4.41,4.41,4.41
45.23,5.97,1.57,5.97,1.57,-1.57,-1.21,4.40,4.40,4.40
45.68,5.97,1.58,5.97,1.58,-1.58,-1.25,4.39,4.39,4.39
46.13,5.97,1.59,5.97,1.58,-1.58,-1.28,4.38,4.38,4.38
46.60,5.96,1.59,5.96,1.59,-1.59,-1.32,4.37,4.37,4.37
47.06,5.96,1.60,5.96,1.60,-1.60,-1.36,4.36,4.36,4.36
47.53,5.96,1.61,5.96,1.61,-1.61,-1.39,4.35,4.35,4.35
48.01,5.96,1.62,5.96,1.62,-1.62,-1.43,4.34,4.34,4.34
48.49,5.96,1.62,5.96,1.62,-1.62,-1.47,4.34,4.33,4.34
48.97,5.95,1.63,5.95,1.63,-1.63,-1.51,4.32,4.32,4.32
49.46,5.94,1.63,5.94,1.63,-1.63,-1.55,4.31,4.31,4.31
49.96,5.93,1.64,5.93,1.64,-1.63,-1.59,4.30,4.30,4.29
50.46,5.91,1.64,5.91,1.63,-1.63,-1.63,4.28,4.28,4.27
50.96,5.89,1.63,5.89,1.63,-1.63,-1.67,4.26,4.26,4.26
51.47,5.88,1.63,5.88,1.63,-1.63,-1.71,4.25,4.25,4.25
51.99,5.86,1.63,5.86,1.63,-1.63,-1.76,4.23,4.23,4.23
52.51,5.85,1.63,5.85,1.63,-1.63,-1.80,4.21,4.22,4.22
53.03,5.84,1.64,5.84,1.64,-1.64,-1.84,4.20,4.20,4.20
53.56,5.84,1.65,5.84,1.65,-1.65,-1.88,4.19,4.18,4.19
54.10,5.83,1.66,5.83,1.66,-1.66,-1.93,4.17,4.17,4.17
54.64,5.83,1.68,5.83,1.68,-1.68,-1.97,4.15,4.15,4.15
55.18,5.83,1.70,5.82,1.70,-1.70,-2.01,4.13,4.13,4.13
55.74,5.82,1.72,5.82,1.71,-1.71,-2.05,4.11,4.11,4.10
56.29,5.82,1.73,5.82,1.73,-1.73,-2.09,4.09,4.09,4.09
56.86,5.82,1.75,5.81,1.75,-1.74,-2.13,4.08,4.07,4.07
57.42,5.81,1.77,5.81,1.76,-1.76,-2.17,4.05,4.05,4.04
58.00,5.79,1.77,5.79,1.77,-1.77,-2.21,4.02,4.02,4.02
58.58,5.78,1.78,5.78,1.78,-1.78,-2.24,4.00,4.00,4.00
59.16,5.76,1.79,5.76,1.79,-1.79,-2.27,3.97,3.97,3.97
59.76,5.74,1.80,5.74,1.80,-1.80,-2.31,3.94,3.94,3.94
60.35,5.72,1.81,5.72,1.81,-1.81,-2.34,3.91,3.91,3.91
60.96,5.71,1.82,5.71,1.82,-1.82,-2.37,3.89,3.89,3.89
61.57,5.69,1.83,5.69,1.83,-1.83,-2.39,3.86,3.86,3.86
62.18,5.68,1.85,5.68,1.84,-1.85,-2.42,3.83,3.83,3.83
62.80,5.66,1.86,5.66,1.86,-1.86,-2.44,3.80,3.80,3.80
63.43,5.65,1.88,5.65,1.88,-1.88,-2.47,3.77,3.77,3.77
64.07,5.64,1.91,5.63,1.90,-1.90,-2.48,3.74,3.73,3.73
64.71,5.62,1.92,5.62,1.93,-1.92,-2.50,3.70,3.70,3.70
65.35,5.61,1.95,5.61,1.94,-1.94,-2.52,3.67,3.67,3.66
66.01,5.60,1.97,5.59,1.96,-1.96,-2.53,3.64,3.63,3.63
66.67,5.58,1.98,5.58,1.98,-1.98,-2.55,3.59,3.60,3.60
67.33,5.57,2.01,5.57,2.00,-2.01,-2.56,3.56,3.56,3.56
68.01,5.56,2.03,5.55,2.03,-2.04,-2.57,3.52,3.52,3.53
68.69,5.54,2.06,5.54,2.06,-2.06,-2.58,3.48,3.48,3.48
69.37,5.53,2.09,5.53,2.09,-2.09,-2.59,3.44,3.44,3.44
70.07,5.52,2.13,5.52,2.12,-2.12,-2.59,3.40,3.40,3.39
70.77,5.51,2.16,5.51,2.16,-2.15,-2.60,3.36,3.36,3.35
71.48,5.49,2.18,5.49,2.19,-2.18,-2.61,3.31,3.31,3.31
72.19,5.48,2.22,5.48,2.21,-2.21,-2.62,3.27,3.27,3.26
72.91,5.46,2.24,5.46,2.24,-2.24,-2.62,3.22,3.22,3.22
73.64,5.44,2.26,5.44,2.27,-2.27,-2.63,3.17,3.17,3.18
74.38,5.42,2.30,5.42,2.30,-2.31,-2.64,3.11,3.12,3.12
75.12,5.41,2.34,5.41,2.34,-2.34,-2.65,3.07,3.07,3.07
75.87,5.40,2.38,5.40,2.38,-2.37,-2.66,3.03,3.02,3.02
76.63,5.38,2.42,5.38,2.41,-2.40,-2.67,2.97,2.97,2.96
77.40,5.36,2.44,5.36,2.45,-2.44,-2.68,2.92,2.92,2.92
78.17,5.34,2.48,5.34,2.48,-2.48,-2.69,2.86,2.86,2.86
78.95,5.32,2.51,5.32,2.51,-2.51,-2.70,2.81,2.81,2.81
79.74,5.30,2.54,5.30,2.54,-2.55,-2.72,2.75,2.75,2.76
80.54,5.28,2.58,5.28,2.58,-2.59,-2.74,2.69,2.69,2.70
81.35,5.26,2.62,5.26,2.62,-2.62,-2.76,2.64,2.64,2.64
82.16,5.24,2.67,5.24,2.66,-2.66,-2.78,2.58,2.58,2.57
82.98,5.22,2.71,5.22,2.71,-2.70,-2.80,2.52,2.52,2.51
83.81,5.20,2.74,5.20,2.74,-2.73,-2.82,2.46,2.46,2.46
84.65,5.17,2.78,5.17,2.77,-2.77,-2.85,2.40,2.40,2.39
85.50,5.14,2.80,5.14,2.81,-2.81,-2.88,2.33,2.34,2.34
86.35,5.12,2.85,5.11,2.84,-2.84,-2.91,2.28,2.27,2.27
87.22,5.09,2.87,5.09,2.87,-2.88,-2.95,2.21,2.21,2.22
88.09,5.06,2.91,5.06,2.91,-2.91,-2.98,2.15,2.15,2.15
88.97,5.04,2.95,5.04,2.95,-2.95,-3.02,2.09,2.09,2.09
89.86,5.01,2.99,5.01,2.99,-2.99,-3.06,2.02,2.02,2.02
90.76,4.98,3.03,4.98,3.03,-3.03,-3.10,1.95,1.96,1.95
91.66,4.95,3.06,4.95,3.07,-3.06,-3.15,1.88,1.89,1.89
92.58,4.93,3.11,4.93,3.10,-3.10,-3.19,1.82,1.82,1.82
93.51,4.90,3.15,4.90,3.14,-3.14,-3.24,1.76,1.75,1.75
94.44,4.87,3.18,4.87,3.19,-3.18,-3.30,1.69,1.69,1.69
95.39,4.84,3.23,4.84,3.22,-3.22,-3.35,1.62,1.62,1.61
96.34,4.81,3.26,4.81,3.26,-3.26,-3.40,1.55,1.55,1.55
97.30,4.78,3.30,4.78,3.30,-3.30,-3.46,1.48,1.48,1.48
98.28,4.75,3.34,4.75,3.34,-3.34,-3.52,1.41,1.41,1.41
99.26,4.72,3.38,4.72,3.37,-3.38,-3.58,1.34,1.34,1.34
100.25,4.68,3.41,4.68,3.41,-3.42,-3.64,1.26,1.27,1.27
101.25,4.65,3.45,4.65,3.45,-3.46,-3.70,1.19,1.19,1.20
102.27,4.62,3.50,4.62,3.49,-3.50,-3.77,1.12,1.12,1.12
103.29,4.59,3.54,4.59,3.54,-3.54,-3.83,1.05,1.05,1.05
104.32,4.56,3.59,4.56,3.59,-3.58,-3.90,0.98,0.98,0.97
105.37,4.53,3.63,4.53,3.63,-3.62,-3.96,0.91,0.91,0.90
106.42,4.50,3.67,4.50,3.67,-3.66,-4.03,0.84,0.84,0.83
107.48,4.47,3.70,4.47,3.70,-3.70,-4.09,0.76,0.76,0.77
108.56,4.44,3.75,4.44,3.74,-3.74,-4.15,0.69,0.69,0.69
109.64,4.41,3.78,4.41,3.78,-3.78,-4.22,0.62,0.62,0.63
110.74,4.38,3.82,4.38,3.82,-3.82,-4.27,0.56,0.56,0.56
111.85,4.35,3.86,4.35,3.86,-3.86,-4.33,0.49,0.49,0.49
112.97,4.32,3.91,4.32,3.90,-3.90,-4.39,0.42,0.42,0.41
114.10,4.28,3.94,4.28,3.94,-3.94,-4.44,0.34,0.35,0.34
115.24,4.25,3.97,4.25,3.97,-3.97,-4.49,0.28,0.28,0.28
116.39,4.22,4.01,4.22,4.01,-4.01,-4.54,0.21,0.21,0.21
117.55,4.19,4.05,4.19,4.04,-4.04,-4.57,0.15,0.14,0.14
118.73,4.15,4.07,4.15,4.07,-4.07,-4.61,0.07,0.08,0.08
119.92,4.12,4.10,4.12,4.10,-4.11,-4.64,0.01,0.01,0.02
121.12,4.09,4.14,4.09,4.14,-4.14,-4.67,-0.05,-0.05,-0.05
122.33,4.05,4.17,4.05,4.17,-4.17,-4.69,-0.12,-0.12,-0.12
123.55,4.02,4.21,4.02,4.20,-4.20,-4.71,-0.18,-0.18,-0.19
124.79,3.98,4.23,3.98,4.23,-4.23,-4.72,-0.25,-0.25,-0.25
126.03,3.94,4.26,3.94,4.26,-4.25,-4.72,-0.31,-0.31,-0.32
127.29,3.90,4.28,3.90,4.28,-4.28,-4.72,-0.38,-0.38,-0.38
128.57,3.87,4.30,3.87,4.30,-4.31,-4.72,-0.44,-0.44,-0.43
129.85,3.83,4.32,3.83,4.32,-4.33,-4.70,-0.50,-0.50,-0.49
131.15,3.80,4.35,3.80,4.35,-4.35,-4.69,-0.55,-0.56,-0.55
132.46,3.76,4.38,3.76,4.38,-4.37,-4.67,-0.62,-0.61,-0.62
133.79,3.73,4.41,3.73,4.40,-4.40,-4.64,-0.67,-0.67,-0.68
135.12,3.69,4.42,3.69,4.42,-4.42,-4.61,-0.73,-0.73,-0.73
136.48,3.65,4.44,3.65,4.44,-4.44,-4.58,-0.79,-0.78,-0.79
137.84,3.62,4.46,3.61,4.45,-4.45,-4.54,-0.83,-0.84,-0.84
139.22,3.57,4.46,3.58,4.47,-4.47,-4.50,-0.90,-0.89,-0.89
140.61,3.54,4.48,3.54,4.48,-4.48,-4.46,-0.94,-0.94,-0.94
142.02,3.50,4.50,3.50,4.49,-4.49,-4.41,-1.00,-1.00,-1.00
143.44,3.46,4.51,3.46,4.51,-4.51,-4.36,-1.05,-1.05,-1.05
144.87,3.42,4.52,3.42,4.51,-4.52,-4.32,-1.10,-1.10,-1.10
146.32,3.38,4.52,3.38,4.52,-4.52,-4.27,-1.15,-1.15,-1.14
147.78,3.34,4.53,3.34,4.53,-4.53,-4.22,-1.19,-1.19,-1.19
149.26,3.31,4.55,3.31,4.54,-4.54,-4.17,-1.23,-1.23,-1.24
150.75,3.27,4.55,3.27,4.55,-4.54,-4.12,-1.27,-1.28,-1.28
152.26,3.22,4.54,3.22,4.55,-4.55,-4.07,-1.33,-1.32,-1.32
153.78,3.18,4.55,3.18,4.54,-4.55,-4.03,-1.37,-1.37,-1.37
155.32,3.13,4.54,3.13,4.54,-4.55,-3.98,-1.42,-1.41,-1.41
156.88,3.09,4.55,3.09,4.54,-4.54,-3.93,-1.45,-1.45,-1.46
158.44,3.05,4.54,3.05,4.54,-4.54,-3.89,-1.49,-1.49,-1.49
160.03,3.01,4.54,3.01,4.53,-4.53,-3.85,-1.52,-1.52,-1.53
161.63,2.96,4.52,2.96,4.52,-4.52,-3.81,-1.56,-1.56,-1.56
163.24,2.91,4.50,2.91,4.51,-4.51,-3.77,-1.60,-1.60,-1.59
164.88,2.87,4.50,2.87,4.49,-4.50,-3.74,-1.63,-1.63,-1.63
166.53,2.82,4.48,2.82,4.48,-4.48,-3.71,-1.66,-1.66,-1.66
168.19,2.78,4.47,2.78,4.47,-4.47,-3.68,-1.69,-1.69,-1.69
169.87,2.74,4.46,2.74,4.46,-4.45,-3.65,-1.71,-1.72,-1.72
171.57,2.69,4.44,2.69,4.44,-4.44,-3.63,-1.75,-1.75,-1.75
173.29,2.64,4.42,2.64,4.42,-4.42,-3.61,-1.78,-1.78,-1.78
175.02,2.59,4.39,2.59,4.40,-4.39,-3.59,-1.81,-1.80,-1.80
176.77,2.55,4.38,2.55,4.37,-4.37,-3.57,-1.82,-1.83,-1.83
178.54,2.50,4.35,2.50,4.35,-4.34,-3.56,-1.85,-1.85,-1.85
180.32,2.45,4.32,2.45,4.32,-4.32,-3.55,-1.87,-1.87,-1.87
182.13,2.40,4.29,2.40,4.29,-4.29,-3.54,-1.89,-1.89,-1.89
183.95,2.35,4.26,2.35,4.26,-4.26,-3.54,-1.91,-1.91,-1.91
185.79,2.30,4.23,2.30,4.23,-4.23,-3.53,-1.93,-1.94,-1.93
187.65,2.24,4.19,2.25,4.20,-4.20,-3.53,-1.96,-1.96,-1.95
189.52,2.20,4.18,2.20,4.17,-4.17,-3.54,-1.97,-1.97,-1.98
191.42,2.15,4.15,2.15,4.14,-4.14,-3.54,-1.99,-1.99,-2.00
193.33,2.10,4.11,2.10,4.11,-4.10,-3.55,-2.01,-2.01,-2.01
195.27,2.04,4.07,2.04,4.07,-4.07,-3.56,-2.03,-2.03,-2.03
197.22,1.99,4.03,1.99,4.03,-4.03,-3.57,-2.04,-2.04,-2.04
199.19,1.94,4.00,1.94,3.99,-4.00,-3.58,-2.06,-2.06,-2.06
201.18,1.89,3.96,1.89,3.95,-3.96,-3.60,-2.07,-2.07,-2.07
203.19,1.83,3.91,1.83,3.92,-3.92,-3.61,-2.09,-2.08,-2.08
205.23,1.78,3.88,1.78,3.87,-3.88,-3.63,-2.10,-2.10,-2.10
207.28,1.73,3.84,1.72,3.83,-3.83,-3.65,-2.11,-2.11,-2.11
209.35,1.67,3.79,1.67,3.79,-3.79,-3.66,-2.12,-2.12,-2.12
211.44,1.62,3.75,1.62,3.75,-3.75,-3.68,-2.13,-2.13,-2.13
213.56,1.57,3.71,1.57,3.71,-3.71,-3.70,-2.14,-2.14,-2.14
215.69,1.52,3.67,1.52,3.67,-3.66,-3.72,-2.14,-2.14,-2.15
217.85,1.47,3.62,1.47,3.62,-3.62,-3.73,-2.15,-2.15,-2.15
220.03,1.42,3.57,1.42,3.57,-3.57,-3.75,-2.15,-2.15,-2.15
222.23,1.36,3.52,1.36,3.52,-3.52,-3.76,-2.17,-2.16,-2.16
224.45,1.31,3.48,1.31,3.48,-3.48,-3.77,-2.17,-2.17,-2.17
226.70,1.26,3.43,1.26,3.43,-3.43,-3.78,-2.17,-2.18,-2.17
228.96,1.21,3.39,1.21,3.39,-3.39,-3.78,-2.18,-2.18,-2.18
231.25,1.16,3.34,1.16,3.34,-3.34,-3.78,-2.18,-2.18,-2.18
233.57,1.11,3.31,1.11,3.30,-3.30,-3.78,-2.19,-2.19,-2.20
235.90,1.06,3.25,1.06,3.25,-3.25,-3.77,-2.19,-2.19,-2.19
238.26,1.01,3.21,1.01,3.21,-3.21,-3.76,-2.20,-2.20,-2.20
240.64,0.96,3.16,0.96,3.16,-3.16,-3.74,-2.20,-2.20,-2.20
243.05,0.91,3.11,0.91,3.11,-3.11,-3.72,-2.20,-2.20,-2.20
245.48,0.86,3.06,0.86,3.06,-3.05,-3.69,-2.19,-2.20,-2.20
247.93,0.80,3.00,0.80,3.00,-3.00,-3.66,-2.20,-2.20,-2.20
250.41,0.75,2.95,0.75,2.94,-2.94,-3.62,-2.20,-2.20,-2.20
252.92,0.69,2.89,0.69,2.88,-2.89,-3.58,-2.20,-2.20,-2.20
255.45,0.63,2.82,0.63,2.83,-2.83,-3.52,-2.20,-2.20,-2.19
258.00,0.58,2.77,0.58,2.77,-2.77,-3.47,-2.19,-2.19,-2.19
260.58,0.52,2.72,0.52,2.71,-2.71,-3.40,-2.19,-2.19,-2.20
263.19,0.46,2.65,0.46,2.65,-2.65,-3.34,-2.19,-2.19,-2.19
265.82,0.40,2.59,0.40,2.59,-2.58,-3.26,-2.18,-2.18,-2.19
268.48,0.35,2.53,0.34,2.52,-2.52,-3.18,-2.17,-2.18,-2.18
271.16,0.28,2.45,0.28,2.45,-2.46,-3.10,-2.18,-2.17,-2.17
273.87,0.23,2.39,0.22,2.39,-2.39,-3.01,-2.16,-2.17,-2.16
276.61,0.16,2.32,0.16,2.32,-2.33,-2.92,-2.17,-2.16,-2.16
279.38,0.11,2.26,0.11,2.26,-2.26,-2.82,-2.15,-2.15,-2.15
282.17,0.05,2.20,0.05,2.20,-2.19,-2.72,-2.14,-2.15,-2.15
284.99,-0.01,2.13,-0.01,2.13,-2.13,-2.62,-2.14,-2.14,-2.14
287.84,-0.07,2.07,-0.07,2.06,-2.06,-2.51,-2.13,-2.13,-2.14
290.72,-0.13,1.99,-0.13,1.99,-2.00,-2.41,-2.13,-2.13,-2.12
293.63,-0.19,1.93,-0.19,1.93,-1.93,-2.29,-2.12,-2.12,-2.12
296.57,-0.25,1.86,-0.25,1.86,-1.86,-2.18,-2.11,-2.11,-2.11
299.53,-0.31,1.80,-0.31,1.79,-1.79,-2.07,-2.10,-2.10,-2.11
302.53,-0.36,1.73,-0.37,1.72,-1.72,-1.95,-2.08,-2.09,-2.09
305.55,-0.43,1.65,-0.42,1.66,-1.66,-1.83,-2.09,-2.08,-2.08
308.61,-0.48,1.59,-0.48,1.59,-1.59,-1.72,-2.07,-2.07,-2.07
311.69,-0.54,1.53,-0.54,1.52,-1.52,-1.60,-2.07,-2.07,-2.07
314.81,-0.60,1.45,-0.60,1.45,-1.46,-1.48,-2.06,-2.06,-2.05
317.96,-0.66,1.39,-0.66,1.39,-1.39,-1.36,-2.05,-2.05,-2.05
321.14,-0.72,1.33,-0.72,1.33,-1.32,-1.23,-2.05,-2.04,-2.05
324.35,-0.77,1.27,-0.77,1.26,-1.26,-1.11,-2.03,-2.03,-2.04
327.59,-0.83,1.20,-0.83,1.20,-1.19,-0.99,-2.02,-2.02,-2.03
330.87,-0.89,1.12,-0.89,1.12,-1.12,-0.87,-2.01,-2.01,-2.01
334.18,-0.95,1.05,-0.95,1.05,-1.05,-0.75,-2.00,-2.00,-2.00
337.52,-1.01,0.98,-1.01,0.98,-0.98,-0.63,-1.99,-1.99,-1.99
340.90,-1.06,0.91,-1.07,0.91,-0.91,-0.50,-1.98,-1.98,-1.97
344.30,-1.12,0.85,-1.12,0.84,-0.84,-0.38,-1.97,-1.97,-1.97
347.75,-1.18,0.77,-1.18,0.78,-0.78,-0.26,-1.96,-1.95,-1.95
351.23,-1.23,0.72,-1.24,0.71,-0.71,-0.14,-1.94,-1.94,-1.95
354.74,-1.29,0.64,-1.29,0.64,-0.64,-0.01,-1.93,-1.93,-1.93
358.28,-1.35,0.57,-1.35,0.57,-0.57,0.11,-1.92,-1.92,-1.92
361.87,-1.40,0.51,-1.40,0.50,-0.50,0.23,-1.90,-1.90,-1.91
365.49,-1.46,0.43,-1.46,0.43,-0.43,0.35,-1.89,-1.89,-1.89
369.14,-1.52,0.35,-1.52,0.35,-0.36,0.48,-1.88,-1.88,-1.87
372.83,-1.58,0.28,-1.58,0.28,-0.28,0.60,-1.86,-1.86,-1.86
376.56,-1.64,0.22,-1.64,0.21,-0.21,0.72,-1.85,-1.85,-1.86
380.33,-1.70,0.14,-1.70,0.14,-0.13,0.84,-1.83,-1.83,-1.84
384.13,-1.76,0.06,-1.76,0.06,-0.06,0.96,-1.82,-1.82,-1.82
387.97,-1.82,-0.02,-1.82,-0.02,0.02,1.09,-1.80,-1.80,-1.80
391.85,-1.88,-0.09,-1.88,-0.09,0.09,1.21,-1.79,-1.79,-1.79
395.77,-1.93,-0.17,-1.93,-0.17,0.17,1.33,-1.76,-1.77,-1.76
399.73,-1.99,-0.24,-1.99,-0.24,0.24,1.45,-1.75,-1.75,-1.75
403.72,-2.04,-0.32,-2.04,-0.32,0.31,1.57,-1.73,-1.73,-1.72
407.76,-2.09,-0.38,-2.09,-0.38,0.39,1.68,-1.70,-1.70,-1.71
411.84,-2.14,-0.45,-2.14,-0.45,0.46,1.80,-1.68,-1.68,-1.69
415.96,-2.19,-0.52,-2.19,-0.52,0.53,1.91,-1.66,-1.66,-1.67
420.12,-2.25,-0.60,-2.25,-0.60,0.60,2.03,-1.65,-1.65,-1.65
424.32,-2.31,-0.68,-2.31,-0.68,0.67,2.14,-1.64,-1.63,-1.63
428.56,-2.36,-0.75,-2.36,-0.75,0.75,2.25,-1.61,-1.61,-1.61
432.85,-2.41,-0.82,-2.41,-0.82,0.82,2.35,-1.59,-1.59,-1.59
437.18,-2.46,-0.89,-2.46,-0.89,0.89,2.46,-1.57,-1.57,-1.57
441.55,-2.52,-0.96,-2.52,-0.96,0.96,2.55,-1.56,-1.55,-1.56
445.96,-2.57,-1.03,-2.57,-1.03,1.04,2.65,-1.54,-1.54,-1.54
450.42,-2.62,-1.10,-2.63,-1.11,1.11,2.74,-1.51,-1.52,-1.52
454.93,-2.68,-1.18,-2.68,-1.18,1.18,2.83,-1.50,-1.49,-1.50
459.48,-2.73,-1.26,-2.73,-1.26,1.26,2.90,-1.47,-1.47,-1.47
464.07,-2.78,-1.33,-2.78,-1.33,1.33,2.98,-1.45,-1.45,-1.45
468.71,-2.84,-1.41,-2.84,-1.41,1.41,3.05,-1.43,-1.43,-1.43
