frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
36.70,-5.28,-1.38,-5.28,-1.38,1.39,1.63,3.22,-3.89,-3.89,-3.90
37.06,-5.16,-1.25,-5.16,-1.26,1.26,1.53,3.07,-3.90,-3.90,-3.91
37.43,-5.04,-1.14,-5.04,-1.14,1.13,1.44,2.92,-3.91,-3.91,-3.90
37.81,-4.92,-1.02,-4.92,-1.02,1.01,1.34,2.77,-3.91,-3.91,-3.90
38.19,-4.79,-0.89,-4.79,-0.90,0.88,1.24,2.62,-3.91,-3.91,-3.90
38.57,-4.66,-0.77,-4.66,-0.77,0.77,1.14,2.46,-3.89,-3.90,-3.89
38.95,-4.54,-0.65,-4.54,-0.65,0.65,1.04,2.31,-3.89,-3.89,-3.89
39.34,-4.42,-0.53,-4.42,-0.53,0.54,0.94,2.15,-3.88,-3.88,-3.89
39.74,-4.31,-0.42,-4.31,-0.42,0.43,0.84,1.99,-3.88,-3.88,-3.89
40.14,-4.20,-0.32,-4.20,-0.32,0.33,0.74,1.84,-3.87,-3.87,-3.88
40.54,-4.10,-0.22,-4.10,-0.23,0.23,0.64,1.68,-3.87,-3.87,-3.88
40.94,-4.01,-0.14,-4.00,-0.14,0.14,0.54,1.52,-3.87,-3.86,-3.86
41.35,-3.91,-0.05,-3.91,-0.05,0.05,0.44,1.36,-3.86,-3.86,-3.86
41.76,-3.82,0.03,-3.82,0.03,-0.03,0.34,1.20,-3.85,-3.85,-3.85
42.18,-3.73,0.11,-3.73,0.11,-0.12,0.24,1.04,-3.84,-3.84,-3.84
42.60,-3.64,0.20,-3.64,0.19,-0.20,0.14,0.89,-3.84,-3.84,-3.84
43.03,-3.55,0.27,-3.55,0.28,-0.28,0.04,0.73,-3.83,-3.83,-3.82
43.46,-3.46,0.36,-3.46,0.36,-0.37,-0.07,0.57,-3.83,-3.83,-3.82
43.90,-3.37,0.46,-3.37,0.45,-0.45,-0.17,0.41,-3.82,-3.82,-3.83
44.33,-3.28,0.54,-3.28,0.54,-0.53,-0.27,0.25,-3.81,-3.82,-3.82
44.78,-3.20,0.62,-3.20,0.62,-0.62,-0.37,0.10,-3.82,-3.81,-3.82
45.23,-3.11,0.70,-3.11,0.70,-0.70,-0.47,-0.06,-3.81,-3.81,-3.81
45.68,-3.02,0.79,-3.02,0.78,-0.78,-0.57,-0.22,-3.80,-3.81,-3.81
46.13,-2.94,0.87,-2.94,0.86,-0.86,-0.67,-0.37,-3.80,-3.80,-3.80
46.60,-2.85,0.94,-2.85,0.94,-0.94,-0.77,-0.53,-3.79,-3.79,-3.79
47.06,-2.76,1.02,-2.76,1.02,-1.02,-0.87,-0.68,-3.78,-3.78,-3.78
47.53,-2.67,1.11,-2.67,1.10,-1.11,-0.97,-0.84,-3.77,-3.78,-3.78
48.01,-2.58,1.18,-2.58,1.18,-1.19,-1.07,-0.99,-3.77,-3.77,-3.76
48.49,-2.50,1.27,-2.50,1.27,-1.27,-1.17,-1.15,-3.77,-3.77,-3.76
48.97,-2.42,1.35,-2.41,1.35,-1.36,-1.26,-1.30,-3.77,-3.77,-3.77
49.46,-2.33,1.44,-2.33,1.44,-1.44,-1.36,-1.46,-3.77,-3.77,-3.77
49.96,-2.24,1.53,-2.24,1.52,-1.52,-1.46,-1.61,-3.76,-3.76,-3.77
50.46,-2.16,1.60,-2.16,1.61,-1.60,-1.55,-1.76,-3.76,-3.76,-3.76
50.96,-2.07,1.68,-2.07,1.68,-1.68,-1.64,-1.91,-3.75,-3.75,-3.75
51.47,-1.99,1.76,-1.99,1.76,-1.76,-1.73,-2.06,-3.75,-3.75,-3.75
51.99,-1.91,1.83,-1.91,1.84,-1.84,-1.82,-2.20,-3.74,-3.74,-3.74
52.51,-1.82,1.91,-1.82,1.91,-1.91,-1.91,-2.35,-3.73,-3.73,-3.73
53.03,-1.74,1.98,-1.74,1.98,-1.98,-2.00,-2.49,-3.72,-3.72,-3.72
53.56,-1.66,2.05,-1.66,2.05,-2.05,-2.09,-2.63,-3.71,-3.71,-3.71
54.10,-1.58,2.12,-1.58,2.12,-2.12,-2.17,-2.76,-3.70,-3.70,-3.70
54.64,-1.50,2.19,-1.50,2.19,-2.19,-2.25,-2.90,-3.69,-3.69,-3.69
55.18,-1.43,2.25,-1.43,2.26,-2.26,-2.33,-3.02,-3.68,-3.68,-3.68
55.74,-1.35,2.32,-1.35,2.32,-2.32,-2.41,-3.15,-3.67,-3.67,-3.67
56.29,-1.28,2.38,-1.28,2.38,-2.38,-2.49,-3.26,-3.66,-3.66,-3.66
56.86,-1.21,2.44,-1.21,2.44,-2.43,-2.56,-3.38,-3.64,-3.64,-3.65
57.42,-1.15,2.49,-1.15,2.49,-2.49,-2.63,-3.48,-3.63,-3.63,-3.64
58.00,-1.08,2.54,-1.08,2.54,-2.54,-2.70,-3.58,-3.61,-3.62,-3.62
58.58,-1.02,2.58,-1.02,2.58,-2.58,-2.77,-3.67,-3.60,-3.60,-3.60
59.16,-0.95,2.63,-0.95,2.63,-2.63,-2.83,-3.76,-3.58,-3.58,-3.58
59.76,-0.89,2.67,-0.89,2.67,-2.68,-2.90,-3.83,-3.57,-3.56,-3.56
60.35,-0.83,2.72,-0.83,2.72,-2.72,-2.95,-3.90,-3.55,-3.55,-3.55
60.96,-0.77,2.76,-0.77,2.76,-2.76,-3.01,-3.96,-3.53,-3.54,-3.53
61.57,-0.72,2.81,-0.72,2.81,-2.81,-3.06,-4.01,-3.53,-3.53,-3.53
62.18,-0.67,2.85,-0.67,2.85,-2.85,-3.12,-4.05,-3.52,-3.52,-3.52
62.80,-0.61,2.89,-0.61,2.90,-2.89,-3.16,-4.08,-3.50,-3.50,-3.50
63.43,-0.56,2.93,-0.56,2.93,-2.93,-3.21,-4.10,-3.49,-3.49,-3.49
64.07,-0.50,2.97,-0.50,2.97,-2.97,-3.25,-4.12,-3.47,-3.47,-3.47
64.71,-0.45,3.01,-0.45,3.01,-3.01,-3.29,-4.12,-3.46,-3.46,-3.45
65.35,-0.39,3.05,-0.39,3.05,-3.05,-3.33,-4.11,-3.44,-3.44,-3.44
66.01,-0.33,3.09,-0.33,3.08,-3.08,-3.36,-4.10,-3.41,-3.42,-3.42
66.67,-0.28,3.12,-0.28,3.12,-3.12,-3.39,-4.08,-3.40,-3.40,-3.40
67.33,-0.22,3.16,-0.22,3.16,-3.16,-3.42,-4.05,-3.38,-3.38,-3.38
68.01,-0.17,3.19,-0.17,3.19,-3.20,-3.44,-4.02,-3.37,-3.36,-3.36
68.69,-0.11,3.23,-0.11,3.24,-3.24,-3.46,-3.98,-3.35,-3.35,-3.34
69.37,-0.05,3.28,-0.05,3.28,-3.28,-3.48,-3.93,-3.32,-3.32,-3.33
70.07,0.01,3.32,0.01,3.31,-3.31,-3.50,-3.88,-3.30,-3.30,-3.31
70.77,0.07,3.35,0.07,3.35,-3.35,-3.51,-3.82,-3.28,-3.28,-3.28
71.48,0.12,3.38,0.12,3.39,-3.39,-3.52,-3.76,-3.27,-3.26,-3.26
72.19,0.18,3.43,0.18,3.42,-3.42,-3.53,-3.70,-3.24,-3.25,-3.24
72.91,0.23,3.46,0.23,3.46,-3.46,-3.54,-3.63,-3.23,-3.23,-3.23
73.64,0.28,3.49,0.28,3.49,-3.49,-3.54,-3.56,-3.21,-3.21,-3.21
74.38,0.33,3.52,0.33,3.52,-3.51,-3.54,-3.49,-3.18,-3.19,-3.18
75.12,0.37,3.54,0.37,3.54,-3.54,-3.54,-3.42,-3.17,-3.16,-3.17
75.87,0.42,3.56,0.42,3.56,-3.56,-3.54,-3.35,-3.14,-3.14,-3.14
76.63,0.46,3.58,0.46,3.58,-3.58,-3.53,-3.28,-3.12,-3.12,-3.12
77.40,0.50,3.59,0.50,3.60,-3.60,-3.52,-3.20,-3.10,-3.10,-3.09
78.17,0.54,3.62,0.54,3.61,-3.61,-3.51,-3.13,-3.07,-3.07,-3.08
78.95,0.58,3.62,0.58,3.63,-3.63,-3.50,-3.06,-3.05,-3.04,-3.04
79.74,0.62,3.64,0.62,3.64,-3.63,-3.49,-2.98,-3.01,-3.02,-3.02
80.54,0.65,3.64,0.65,3.64,-3.64,-3.48,-2.91,-2.99,-2.99,-2.99
81.35,0.68,3.65,0.68,3.65,-3.64,-3.46,-2.84,-2.96,-2.96,-2.97
82.16,0.70,3.65,0.70,3.64,-3.64,-3.44,-2.77,-2.94,-2.94,-2.94
82.98,0.71,3.62,0.71,3.63,-3.63,-3.42,-2.71,-2.92,-2.92,-2.91
83.81,0.72,3.62,0.72,3.62,-3.62,-3.40,-2.64,-2.90,-2.90,-2.90
84.65,0.73,3.61,0.73,3.60,-3.60,-3.38,-2.57,-2.87,-2.87,-2.87
85.50,0.74,3.58,0.74,3.59,-3.58,-3.35,-2.51,-2.84,-2.85,-2.84
86.35,0.74,3.56,0.74,3.56,-3.56,-3.33,-2.45,-2.82,-2.82,-2.82
87.22,0.74,3.54,0.74,3.54,-3.53,-3.30,-2.39,-2.79,-2.79,-2.80
88.09,0.73,3.51,0.73,3.50,-3.50,-3.28,-2.33,-2.77,-2.77,-2.78
88.97,0.72,3.47,0.72,3.47,-3.47,-3.25,-2.28,-2.75,-2.75,-2.74
89.86,0.70,3.42,0.70,3.43,-3.43,-3.22,-2.22,-2.73,-2.73,-2.72
90.76,0.68,3.39,0.68,3.39,-3.38,-3.19,-2.17,-2.70,-2.70,-2.71
91.66,0.65,3.33,0.65,3.34,-3.34,-3.16,-2.12,-2.68,-2.68,-2.68
92.58,0.62,3.29,0.62,3.29,-3.28,-3.12,-2.07,-2.66,-2.66,-2.67
93.51,0.58,3.22,0.58,3.22,-3.23,-3.09,-2.03,-2.64,-2.64,-2.64
94.44,0.54,3.16,0.54,3.17,-3.17,-3.05,-1.98,-2.63,-2.62,-2.62
95.39,0.50,3.10,0.50,3.10,-3.10,-3.02,-1.94,-2.60,-2.60,-2.60
96.34,0.45,3.04,0.45,3.04,-3.04,-2.98,-1.90,-2.59,-2.59,-2.59
97.30,0.40,2.97,0.40,2.97,-2.97,-2.94,-1.86,-2.57,-2.57,-2.57
98.28,0.35,2.91,0.35,2.91,-2.91,-2.90,-1.82,-2.56,-2.56,-2.55
99.26,0.30,2.84,0.30,2.84,-2.84,-2.86,-1.78,-2.54,-2.54,-2.54
100.25,0.26,2.78,0.26,2.77,-2.78,-2.81,-1.75,-2.52,-2.52,-2.52
101.25,0.21,2.71,0.21,2.71,-2.72,-2.77,-1.71,-2.51,-2.50,-2.50
102.27,0.17,2.65,0.17,2.66,-2.66,-2.73,-1.68,-2.49,-2.48,-2.48
103.29,0.13,2.61,0.13,2.60,-2.60,-2.68,-1.65,-2.47,-2.47,-2.47
104.32,0.10,2.55,0.10,2.55,-2.55,-2.63,-1.62,-2.44,-2.45,-2.45
105.37,0.06,2.49,0.06,2.49,-2.50,-2.58,-1.59,-2.43,-2.43,-2.43
106.42,0.03,2.44,0.03,2.44,-2.45,-2.53,-1.57,-2.42,-2.42,-2.41
107.48,0.00,2.40,-0.00,2.40,-2.40,-2.48,-1.54,-2.40,-2.40,-2.40
108.56,-0.03,2.36,-0.03,2.36,-2.36,-2.42,-1.51,-2.39,-2.39,-2.39
109.64,-0.05,2.32,-0.05,2.32,-2.32,-2.37,-1.49,-2.37,-2.37,-2.37
110.74,-0.07,2.29,-0.07,2.29,-2.28,-2.31,-1.47,-2.35,-2.36,-2.36
111.85,-0.10,2.24,-0.10,2.25,-2.25,-2.25,-1.44,-2.35,-2.35,-2.34
112.97,-0.13,2.22,-0.13,2.21,-2.21,-2.19,-1.42,-2.34,-2.34,-2.35
114.10,-0.16,2.17,-0.16,2.17,-2.18,-2.13,-1.40,-2.33,-2.34,-2.33
115.24,-0.19,2.14,-0.19,2.14,-2.14,-2.07,-1.38,-2.32,-2.33,-2.32
116.39,-0.23,2.09,-0.22,2.09,-2.09,-2.00,-1.36,-2.32,-2.32,-2.32
117.55,-0.26,2.05,-0.26,2.05,-2.04,-1.93,-1.34,-2.30,-2.31,-2.31
118.73,-0.31,2.00,-0.31,2.00,-1.99,-1.86,-1.32,-2.30,-2.30,-2.31
119.92,-0.36,1.94,-0.36,1.94,-1.93,-1.79,-1.30,-2.29,-2.29,-2.29
121.12,-0.42,1.87,-0.42,1.87,-1.87,-1.72,-1.28,-2.29,-2.29,-2.29
122.33,-0.48,1.81,-0.48,1.80,-1.80,-1.64,-1.27,-2.28,-2.28,-2.29
123.55,-0.55,1.72,-0.55,1.73,-1.73,-1.57,-1.25,-2.28,-2.28,-2.27
124.79,-0.62,1.65,-0.62,1.65,-1.65,-1.49,-1.23,-2.27,-2.27,-2.27
126.03,-0.70,1.56,-0.70,1.56,-1.57,-1.41,-1.21,-2.27,-2.27,-2.26
127.29,-0.78,1.48,-0.78,1.48,-1.48,-1.33,-1.20,-2.26,-2.26,-2.26
128.57,-0.87,1.40,-0.87,1.39,-1.39,-1.24,-1.18,-2.26,-2.26,-2.26
129.85,-0.96,1.30,-0.96,1.30,-1.30,-1.16,-1.16,-2.26,-2.26,-2.26
131.15,-1.05,1.21,-1.05,1.21,-1.20,-1.07,-1.14,-2.25,-2.25,-2.26
132.46,-1.15,1.10,-1.15,1.10,-1.10,-0.98,-1.13,-2.25,-2.25,-2.25
133.79,-1.25,0.99,-1.25,1.00,-0.99,-0.90,-1.11,-2.24,-2.24,-2.24
135.12,-1.36,0.89,-1.36,0.88,-0.88,-0.81,-1.09,-2.24,-2.24,-2.25
136.48,-1.47,0.77,-1.47,0.77,-0.77,-0.72,-1.08,-2.24,-2.24,-2.23
137.84,-1.58,0.65,-1.58,0.66,-0.65,-0.63,-1.06,-2.23,-2.24,-2.23
139.22,-1.70,0.54,-1.70,0.54,-0.54,-0.54,-1.04,-2.23,-2.23,-2.24
140.61,-1.81,0.43,-1.81,0.42,-0.42,-0.45,-1.03,-2.23,-2.23,-2.24
142.02,-1.92,0.29,-1.92,0.30,-0.30,-0.36,-1.01,-2.22,-2.22,-2.21
143.44,-2.03,0.18,-2.03,0.18,-0.18,-0.27,-1.00,-2.21,-2.21,-2.21
144.87,-2.14,0.07,-2.14,0.06,-0.07,-0.18,-0.98,-2.20,-2.20,-2.21
146.32,-2.25,-0.05,-2.25,-0.05,0.05,-0.10,-0.97,-2.20,-2.20,-2.20
147.78,-2.35,-0.16,-2.35,-0.15,0.15,-0.01,-0.95,-2.20,-2.20,-2.19
149.26,-2.45,-0.26,-2.45,-0.26,0.25,0.06,-0.94,-2.20,-2.20,-2.19
150.75,-2.54,-0.34,-2.54,-0.35,0.35,0.14,-0.92,-2.19,-2.19,-2.20
152.26,-2.63,-0.43,-2.63,-0.43,0.43,0.21,-0.91,-2.20,-2.19,-2.19
153.78,-2.70,-0.51,-2.70,-0.51,0.51,0.28,-0.90,-2.19,-2.20,-2.19
155.32,-2.77,-0.57,-2.77,-0.57,0.57,0.34,-0.89,-2.20,-2.20,-2.20
156.88,-2.83,-0.63,-2.83,-0.63,0.62,0.41,-0.87,-2.20,-2.20,-2.20
158.44,-2.88,-0.67,-2.88,-0.67,0.67,0.46,-0.86,-2.21,-2.21,-2.21
160.03,-2.92,-0.71,-2.92,-0.70,0.71,0.51,-0.85,-2.21,-2.21,-2.21
161.63,-2.95,-0.73,-2.95,-0.73,0.73,0.55,-0.84,-2.22,-2.22,-2.22
163.24,-2.97,-0.74,-2.97,-0.75,0.75,0.58,-0.83,-2.22,-2.22,-2.23
164.88,-2.99,-0.76,-2.99,-0.75,0.75,0.61,-0.82,-2.23,-2.23,-2.23
166.53,-2.99,-0.75,-2.99,-0.76,0.75,0.63,-0.81,-2.24,-2.24,-2.24
168.19,-2.99,-0.75,-2.99,-0.75,0.74,0.65,-0.80,-2.24,-2.24,-2.24
169.87,-2.98,-0.73,-2.98,-0.73,0.73,0.66,-0.79,-2.25,-2.25,-2.25
171.57,-2.96,-0.70,-2.96,-0.70,0.70,0.66,-0.79,-2.26,-2.26,-2.26
173.29,-2.94,-0.67,-2.94,-0.67,0.67,0.65,-0.78,-2.27,-2.27,-2.27
175.02,-2.91,-0.63,-2.91,-0.63,0.63,0.64,-0.77,-2.28,-2.28,-2.28
176.77,-2.88,-0.58,-2.88,-0.58,0.58,0.62,-0.77,-2.30,-2.30,-2.29
178.54,-2.84,-0.53,-2.84,-0.53,0.53,0.60,-0.76,-2.31,-2.31,-2.31
180.32,-2.79,-0.47,-2.79,-0.47,0.48,0.57,-0.75,-2.31,-2.32,-2.32
182.13,-2.75,-0.42,-2.75,-0.41,0.42,0.54,-0.75,-2.33,-2.33,-2.33
183.95,-2.70,-0.35,-2.70,-0.36,0.36,0.50,-0.75,-2.34,-2.34,-2.35
185.79,-2.66,-0.30,-2.66,-0.30,0.30,0.45,-0.74,-2.36,-2.36,-2.36
187.65,-2.62,-0.25,-2.62,-0.24,0.24,0.41,-0.74,-2.38,-2.37,-2.37
189.52,-2.57,-0.19,-2.57,-0.19,0.18,0.36,-0.74,-2.38,-2.39,-2.38
191.42,-2.52,-0.13,-2.52,-0.13,0.12,0.31,-0.73,-2.39,-2.40,-2.39
193.33,-2.47,-0.07,-2.47,-0.07,0.07,0.25,-0.73,-2.40,-2.40,-2.40
195.27,-2.41,-0.00,-2.41,-0.00,0.01,0.19,-0.73,-2.40,-2.41,-2.41
197.22,-2.36,0.06,-2.36,0.06,-0.05,0.13,-0.73,-2.41,-2.41,-2.42
199.19,-2.31,0.12,-2.31,0.12,-0.11,0.07,-0.73,-2.42,-2.42,-2.43
201.18,-2.26,0.17,-2.26,0.17,-0.17,0.01,-0.73,-2.43,-2.43,-2.43
203.19,-2.21,0.22,-2.21,0.23,-0.23,-0.05,-0.73,-2.44,-2.44,-2.43
205.23,-2.15,0.29,-2.15,0.28,-0.29,-0.11,-0.74,-2.44,-2.44,-2.44
207.28,-2.09,0.34,-2.09,0.35,-0.35,-0.17,-0.74,-2.44,-2.44,-2.43
209.35,-2.02,0.42,-2.02,0.41,-0.41,-0.23,-0.74,-2.43,-2.44,-2.43
211.44,-1.96,0.48,-1.96,0.48,-0.48,-0.30,-0.75,-2.44,-2.44,-2.44
213.56,-1.89,0.54,-1.89,0.54,-0.54,-0.36,-0.75,-2.43,-2.43,-2.43
215.69,-1.82,0.60,-1.82,0.60,-0.61,-0.42,-0.75,-2.43,-2.43,-2.42
217.85,-1.75,0.67,-1.75,0.67,-0.67,-0.47,-0.76,-2.42,-2.42,-2.42
220.03,-1.68,0.74,-1.68,0.73,-0.73,-0.53,-0.77,-2.41,-2.41,-2.42
222.23,-1.62,0.79,-1.62,0.79,-0.78,-0.59,-0.77,-2.40,-2.40,-2.41
224.45,-1.56,0.83,-1.56,0.84,-0.83,-0.65,-0.78,-2.39,-2.39,-2.39
226.70,-1.50,0.88,-1.50,0.88,-0.88,-0.70,-0.79,-2.38,-2.38,-2.38
228.96,-1.45,0.92,-1.45,0.91,-0.92,-0.75,-0.80,-2.37,-2.37,-2.37
231.25,-1.40,0.95,-1.40,0.95,-0.95,-0.81,-0.81,-2.35,-2.35,-2.34
233.57,-1.36,0.97,-1.36,0.98,-0.98,-0.86,-0.82,-2.34,-2.33,-2.33
235.90,-1.32,1.00,-1.32,1.00,-1.00,-0.91,-0.83,-2.32,-2.32,-2.32
238.26,-1.29,1.02,-1.29,1.02,-1.01,-0.96,-0.85,-2.30,-2.30,-2.31
240.64,-1.26,1.03,-1.26,1.02,-1.02,-1.00,-0.86,-2.28,-2.28,-2.29
243.05,-1.24,1.02,-1.24,1.03,-1.02,-1.05,-0.87,-2.26,-2.26,-2.26
245.48,-1.22,1.02,-1.22,1.02,-1.02,-1.09,-0.89,-2.24,-2.24,-2.24
247.93,-1.20,1.02,-1.20,1.02,-1.02,-1.14,-0.90,-2.21,-2.22,-2.22
250.41,-1.19,1.02,-1.19,1.01,-1.01,-1.18,-0.92,-2.20,-2.19,-2.21
252.92,-1.17,1.00,-1.17,1.00,-1.00,-1.22,-0.94,-2.17,-2.17,-2.17
255.45,-1.16,0.98,-1.16,0.99,-0.99,-1.26,-0.96,-2.15,-2.15,-2.14
258.00,-1.14,0.98,-1.14,0.98,-0.98,-1.30,-0.98,-2.12,-2.12,-2.12
260.58,-1.11,0.98,-1.11,0.98,-0.99,-1.34,-1.00,-2.10,-2.10,-2.09
263.19,-1.08,0.98,-1.08,0.99,-0.99,-1.38,-1.02,-2.07,-2.07,-2.06
265.82,-1.04,1.00,-1.03,1.00,-1.01,-1.42,-1.05,-2.05,-2.04,-2.04
268.48,-0.98,1.03,-0.98,1.02,-1.03,-1.46,-1.07,-2.01,-2.01,-2.00
271.16,-0.92,1.05,-0.92,1.06,-1.06,-1.50,-1.10,-1.98,-1.97,-1.97
273.87,-0.85,1.10,-0.85,1.09,-1.09,-1.54,-1.13,-1.94,-1.94,-1.95
276.61,-0.78,1.13,-0.78,1.13,-1.13,-1.57,-1.15,-1.90,-1.91,-1.91
279.38,-0.72,1.17,-0.72,1.17,-1.17,-1.61,-1.18,-1.88,-1.88,-1.89
282.17,-0.65,1.22,-0.65,1.21,-1.21,-1.65,-1.21,-1.86,-1.86,-1.87
284.99,-0.58,1.25,-0.58,1.26,-1.26,-1.69,-1.25,-1.84,-1.84,-1.83
287.84,-0.50,1.31,-0.50,1.31,-1.31,-1.73,-1.28,-1.81,-1.81,-1.81
290.72,-0.42,1.36,-0.42,1.36,-1.37,-1.76,-1.31,-1.79,-1.78,-1.77
